locusTag	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	gene_name	annotation	symbol	GeneID	feature_interval_length	product_length	attributes	level	annotation
Bcen2424_0019	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	22304	23185	-	ABK06773.1			Bcen2424_0019	"RNA polymerase, sigma-24 subunit, RpoE"			882	293			
Bcen2424_0020	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	23185	23661	-	ABK06774.1			Bcen2424_0020	"alkylhydroperoxidase like protein, AhpD family"			477	158			
Bcen2424_0021	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	24004	24237	+	ABK06775.1			Bcen2424_0021	conserved hypothetical protein			234	77			
Bcen2424_0022	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	24242	25468	+	ABK06776.1			Bcen2424_0022	protein of unknown function DUF323			1227	408			
Bcen2424_0023	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	25452	26465	+	ABK06777.1			Bcen2424_0023	conserved hypothetical protein			1014	337			
Bcen2424_0024	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	26759	27061	+	ABK06778.1			Bcen2424_0024	conserved hypothetical protein			303	100			
Bcen2424_0025	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	27114	27326	+	ABK06779.1			Bcen2424_0025	conserved hypothetical protein			213	70			
Bcen2424_0026	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	27514	27870	+	ABK06780.1			Bcen2424_0026	conserved hypothetical protein			357	118			
Bcen2424_0027	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	28136	31162	-	ABK06781.1			Bcen2424_0027	"type III restriction enzyme, res subunit"			3027	1008			
Bcen2424_0028	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	31162	33180	-	ABK06782.1			Bcen2424_0028	Site-specific DNA-methyltransferase (adenine-specific)			2019	672			
Bcen2424_0029	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	33540	34667	-	ABK06783.1			Bcen2424_0029	outer membrane protein (porin)-like protein			1128	375			
Bcen2424_0030	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	34950	35627	-	ABK06784.1			Bcen2424_0030	"two component transcriptional regulator, winged helix family"			678	225			
Bcen2424_0031	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	35641	37008	-	ABK06785.1			Bcen2424_0031	periplasmic sensor signal transduction histidine kinase			1368	455			
Bcen2424_0032	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	37097	37954	-	ABK06786.1			Bcen2424_0032	binding-protein-dependent transport systems inner membrane component			858	285			
Bcen2424_0033	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	38014	38811	-	ABK06787.1			Bcen2424_0033	ABC transporter related protein			798	265			
Bcen2424_0034	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	38933	39937	-	ABK06788.1			Bcen2424_0034	"ABC nitrate/sulfonate/bicarbonate transporter, periplasmic ligand binding protein"			1005	334			
Bcen2424_0035	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	40123	40905	-	ABK06789.1			Bcen2424_0035	flagellar biosynthetic protein FliR			783	260			
Bcen2424_0036	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	40930	41202	-	ABK06790.1			Bcen2424_0036	flagellar biosynthetic protein FliQ			273	90			
Bcen2424_0037	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	41220	41981	-	ABK06791.1			Bcen2424_0037	flagellar biosynthetic protein FliP			762	253			
Bcen2424_0038	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	42018	42599	-	ABK06792.1			Bcen2424_0038	"flagellar biosynthesis protein, FliO"			582	193			
Bcen2424_0039	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	42596	43084	-	ABK06793.1			Bcen2424_0039	flagellar motor switch protein FliN			489	162		3	02030 Bacterial chemotaxis [PATH:ko02030]|02040 Flagellar assembly [PATH:ko02040]
Bcen2424_0040	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	43077	44075	-	ABK06794.1			Bcen2424_0040	flagellar motor switch protein FliM			999	332		3	02030 Bacterial chemotaxis [PATH:ko02030]|02040 Flagellar assembly [PATH:ko02040]
Bcen2424_0041	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	44098	44631	-	ABK06795.1			Bcen2424_0041	flagellar basal body-associated protein FliL			534	177			
Bcen2424_0042	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	44844	45566	-	ABK06796.1			Bcen2424_0042	LrgB family protein			723	240			
Bcen2424_0043	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	45580	46053	-	ABK06797.1			Bcen2424_0043	LrgA family protein			474	157			
Bcen2424_0044	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	46195	47121	+	ABK06798.1			Bcen2424_0044	"transcriptional regulator, LysR family"			927	308			
Bcen2424_0045	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	47146	47532	-	ABK06799.1			Bcen2424_0045	PilT protein domain protein			387	128			
Bcen2424_0046	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	47529	47777	-	ABK06800.1			Bcen2424_0046	prevent-host-death family protein			249	82			
Bcen2424_0047	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	47883	49445	-	ABK06801.1			Bcen2424_0047	"drug resistance transporter, EmrB/QacA subfamily"			1563	520			
Bcen2424_0048	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	49622	50110	-	ABK06802.1			Bcen2424_0048	"transcriptional regulator, MarR family"			489	162			
Bcen2424_0049	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	50285	50572	+	ABK06803.1			Bcen2424_0049	conserved hypothetical protein			288	95			
Bcen2424_0050	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	50854	52425	+	ABK06804.1			Bcen2424_0050	"RND efflux system, outer membrane lipoprotein, NodT family"			1572	523			
Bcen2424_0051	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	52457	53281	-	ABK06805.1			Bcen2424_0051	conserved hypothetical protein			825	274			
Bcen2424_0052	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	53282	53788	-	ABK06806.1			Bcen2424_0052	General secretion pathway M protein			507	168			
Bcen2424_0053	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	53785	55158	-	ABK06807.1			Bcen2424_0053	general secretion pathway protein L			1374	457			
Bcen2424_0054	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	55185	56294	-	ABK06808.1			Bcen2424_0054	General secretion pathway protein K			1110	369			
Bcen2424_0055	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	56297	56995	-	ABK06809.1			Bcen2424_0055	general secretion pathway protein			699	232			
Bcen2424_0056	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	56973	57374	-	ABK06810.1			Bcen2424_0056	general secretion pathway protein I			402	133			
Bcen2424_0057	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	57377	57946	-	ABK06811.1			Bcen2424_0057	general secretion pathway protein H			570	189			
Bcen2424_0058	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	57986	58438	-	ABK06812.1			Bcen2424_0058	general secretion pathway protein G			453	150			
Bcen2424_0059	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	58614	59024	+	ABK06813.1			Bcen2424_0059	conserved hypothetical protein			411	136			
Bcen2424_0060	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	59062	60279	-	ABK06814.1			Bcen2424_0060	general secretion pathway protein F			1218	405			
Bcen2424_0061	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	60284	61783	-	ABK06815.1			Bcen2424_0061	type II secretion system protein E (GspE)			1500	499			
Bcen2424_0062	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	61780	64104	-	ABK06816.1			Bcen2424_0062	general secretion pathway protein D			2325	774			
Bcen2424_0063	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	64473	64967	+	ABK06817.1			Bcen2424_0063	"Lytic transglycosylase, catalytic"			495	164			
Bcen2424_0064	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	65121	66434	+	ABK06818.1			Bcen2424_0064	"cobalamin synthesis protein, P47K"			1314	437			
Bcen2424_0065	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	66563	66841	-	ABK06819.1			Bcen2424_0065	histone family protein DNA-binding protein			279	92			
Bcen2424_0066	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	67230	69161	+	ABK06820.1			Bcen2424_0066	FAD dependent oxidoreductase			1932	643			
Bcen2424_0067	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	69463	69789	+	ABK06821.1			Bcen2424_0067	conserved hypothetical protein			327	108			
Bcen2424_0068	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	69833	71047	+	ABK06822.1			Bcen2424_0068	"transporter, CPA2 family"			1215	404			
Bcen2424_0069	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	71062	72177	+	ABK06823.1			Bcen2424_0069	uncharacterized enzyme			1116	371			
Bcen2424_0070	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	72682	73320	+	ABK06824.1			Bcen2424_0070	"transcriptional regulator, MarR family"			639	212			
Bcen2424_0071	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	73349	74059	+	ABK06825.1			Bcen2424_0071	glutamine amidotransferase class-I			711	236			
Bcen2424_0072	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	74288	75400	+	ABK06826.1			Bcen2424_0072	NADH:flavin oxidoreductase/NADH oxidase			1113	370			
Bcen2424_0073	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	75578	76108	+	ABK06827.1			Bcen2424_0073	nuclear protein SET			531	176			
Bcen2424_0074	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	76270	77754	-	ABK06828.1			Bcen2424_0074	periplasmic sensor signal transduction histidine kinase			1485	494			
Bcen2424_0075	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	77876	78568	-	ABK06829.1			Bcen2424_0075	"two component transcriptional regulator, winged helix family"			693	230			
Bcen2424_0076	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	78661	78921	+	ABK06830.1			Bcen2424_0076	conserved hypothetical protein			261	86			
Bcen2424_0077	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	79021	79329	-	ABK06831.1			Bcen2424_0077	pterin-4-alpha-carbinolamine dehydratase			309	102			
Bcen2424_0078	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	79461	80423	-	ABK06832.1			Bcen2424_0078	Phenylalanine 4-hydroxylase			963	320		3	"00360 Phenylalanine metabolism [PATH:ko00360]|00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]|00790 Folate biosynthesis [PATH:ko00790]"
Bcen2424_0079	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	80493	80978	+	ABK06833.1			Bcen2424_0079	"transcriptional regulator, AsnC family"			486	161			
Bcen2424_0080	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	81045	81578	-	ABK06834.1			Bcen2424_0080	adenylate cyclase			534	177			
Bcen2424_0081	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	81787	82725	-	ABK06835.1			Bcen2424_0081	"transcriptional regulator, LysR family"			939	312			
Bcen2424_0082	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	82916	84652	+	ABK06836.1			Bcen2424_0082	glucose-methanol-choline oxidoreductase			1737	578			
Bcen2424_0083	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	85086	85865	+	ABK06837.1			Bcen2424_0083	"amino acid/amide ABC transporter ATP-binding protein 1, HAAT family"			780	259		3	02010 ABC transporters [PATH:ko02010]|02024 Quorum sensing [PATH:ko02024]
Bcen2424_0084	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	85862	86617	+	ABK06838.1			Bcen2424_0084	"amino acid/amide ABC transporter ATP-binding protein 2, HAAT family"			756	251		3	02010 ABC transporters [PATH:ko02010]|02024 Quorum sensing [PATH:ko02024]
Bcen2424_0085	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	86695	87894	+	ABK06839.1			Bcen2424_0085	"amino acid/amide ABC transporter substrate-binding protein, HAAT family"			1200	399		3	02010 ABC transporters [PATH:ko02010]|02024 Quorum sensing [PATH:ko02024]
Bcen2424_0086	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	87945	88907	+	ABK06840.1			Bcen2424_0086	"amino acid/amide ABC transporter membrane protein 1, HAAT family"			963	320		3	02010 ABC transporters [PATH:ko02010]|02024 Quorum sensing [PATH:ko02024]
Bcen2424_0087	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	88907	89884	+	ABK06841.1			Bcen2424_0087	"amino acid/amide ABC transporter membrane protein 2, HAAT family"			978	325		3	02010 ABC transporters [PATH:ko02010]|02024 Quorum sensing [PATH:ko02024]
Bcen2424_0088	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	89996	90295	+	ABK06842.1			Bcen2424_0088	hypothetical protein			300	99			
Bcen2424_0089	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	90949	92106	+	ABK06843.1			Bcen2424_0089	"amino acid/amide ABC transporter substrate-binding protein, HAAT family"			1158	385		3	02010 ABC transporters [PATH:ko02010]|02024 Quorum sensing [PATH:ko02024]
Bcen2424_0090	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	92176	93360	+	ABK06844.1			Bcen2424_0090	"amino acid/amide ABC transporter membrane protein 1, HAAT family"			1185	394		3	02010 ABC transporters [PATH:ko02010]|02024 Quorum sensing [PATH:ko02024]
Bcen2424_0091	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	93365	95149	+	ABK06845.1			Bcen2424_0091	"amino acid/amide ABC transporter membrane protein 2, HAAT family / amino acid/amide ABC transporter ATP-binding protein 1, HAAT family"			1785	594		3	02010 ABC transporters [PATH:ko02010]|02024 Quorum sensing [PATH:ko02024]
Bcen2424_0092	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	95149	95904	+	ABK06846.1			Bcen2424_0092	"amino acid/amide ABC transporter ATP-binding protein 2, HAAT family"			756	251		3	02010 ABC transporters [PATH:ko02010]|02024 Quorum sensing [PATH:ko02024]
Bcen2424_0093	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	96438	98408	+	ABK06847.1			Bcen2424_0093	glucose inhibited division protein A			1971	656			
Bcen2424_0094	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	98405	99091	+	ABK06848.1			Bcen2424_0094	16S rRNA m(7)G-527 methyltransferase			687	228			
Bcen2424_0095	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	99143	99922	+	ABK06849.1			Bcen2424_0095	chromosome segregation ATPase			780	259			
Bcen2424_0096	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	99930	100847	+	ABK06850.1			Bcen2424_0096	chromosome segregation DNA-binding protein			918	305			
Bcen2424_0097	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	100858	101988	+	ABK06851.1			Bcen2424_0097	"transporter, YbiR family"			1131	376			
Bcen2424_0098	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	102123	102440	+	ABK06852.1			Bcen2424_0098	conserved hypothetical protein			318	105			
Bcen2424_0099	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	102555	103079	+	ABK06853.1			Bcen2424_0099	F0F1-type ATP synthase subunit I-like protein			525	174			
Bcen2424_0100	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	103190	104041	+	ABK06854.1			Bcen2424_0100	"ATP synthase F0, A subunit"			852	283			
Bcen2424_0101	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	104117	104386	+	ABK06855.1			Bcen2424_0101	"ATP synthase F0, C subunit"			270	89			
Bcen2424_0102	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	104516	104986	+	ABK06856.1			Bcen2424_0102	ATP synthase F0 subcomplex B subunit			471	156			
Bcen2424_0103	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	104989	105528	+	ABK06857.1			Bcen2424_0103	ATP synthase F1 subcomplex delta subunit			540	179			
Bcen2424_0104	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	105573	107114	+	ABK06858.1			Bcen2424_0104	ATP synthase F1 subcomplex alpha subunit			1542	513			
Bcen2424_0105	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	107184	108059	+	ABK06859.1			Bcen2424_0105	ATP synthase F1 subcomplex gamma subunit			876	291			
Bcen2424_0106	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	108126	109520	+	ABK06860.1			Bcen2424_0106	ATP synthase F1 subcomplex beta subunit			1395	464			
Bcen2424_0107	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	109641	110066	+	ABK06861.1			Bcen2424_0107	ATP synthase F1 subcomplex epsilon subunit			426	141			
Bcen2424_0108	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	110330	112057	+	ABK06862.1			Bcen2424_0108	AMP-dependent synthetase and ligase			1728	575			
Bcen2424_0109	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	112343	112720	-	ABK06863.1			Bcen2424_0109	hypothetical protein			378	125			
Bcen2424_0110	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	112747	113559	-	ABK06864.1			Bcen2424_0110	cyclohexadienyl dehydratase			813	270			
Bcen2424_0111	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	113625	114803	+	ABK06865.1			Bcen2424_0111	uroporphyrinogen decarboxylase			1179	392			
Bcen2424_0112	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	115255	117516	+	ABK06866.1			Bcen2424_0112	primosomal protein N'			2262	753			
Bcen2424_0113	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	117943	121875	+	ABK06867.1			Bcen2424_0113	L-proline dehydrogenase / delta-1-pyrroline-5-carboxylate dehydrogenase			3933	1310		3	"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]|00330 Arginine and proline metabolism [PATH:ko00330]"
Bcen2424_0114	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	121960	123099	+	ABK06868.1			Bcen2424_0114	"amino acid/amide ABC transporter substrate-binding protein, HAAT family"			1140	379		3	02010 ABC transporters [PATH:ko02010]|02024 Quorum sensing [PATH:ko02024]
Bcen2424_0115	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	123306	123716	-	ABK06869.1			Bcen2424_0115	conserved hypothetical protein			411	136			
Bcen2424_0116	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	123936	125444	-	ABK06870.1			Bcen2424_0116	AMP-dependent synthetase and ligase			1509	502			
Bcen2424_0117	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	125495	127147	-	ABK06871.1			Bcen2424_0117	acyl-CoA dehydrogenase domain protein			1653	550			
Bcen2424_0118	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	127279	127947	+	ABK06872.1			Bcen2424_0118	"transcriptional regulator, TetR family"			669	222			
Bcen2424_0119	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	128154	129308	+	ABK06873.1			Bcen2424_0119	2-keto-4-methylthiobutyrate aminotransferase apoenzyme			1155	384			
Bcen2424_0120	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	129366	130154	+	ABK06874.1			Bcen2424_0120	"amino acid ABC transporter substrate-binding protein, PAAT family"			789	262			
Bcen2424_0121	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	130170	131600	+	ABK06875.1			Bcen2424_0121	FAD linked oxidase domain protein			1431	476			
Bcen2424_0122	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	131646	132218	-	ABK06876.1			Bcen2424_0122	"transcriptional regulator, PadR family"			573	190			
Bcen2424_0123	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	132287	132718	-	ABK06877.1			Bcen2424_0123	"transcriptional regulator, MerR family"			432	143			
Bcen2424_0124	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	132800	135340	+	ABK06878.1			Bcen2424_0124	heavy metal translocating P-type ATPase			2541	846			
Bcen2424_0125	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	135351	135734	+	ABK06879.1			Bcen2424_0125	conserved hypothetical protein			384	127			
Bcen2424_0126	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	135893	136774	-	ABK06880.1			Bcen2424_0126	"transcriptional regulator, AraC family"			882	293			
Bcen2424_0127	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	137050	138513	+	ABK06881.1			Bcen2424_0127	Conserved TM helix repeat-containing protein			1464	487			
Bcen2424_0128	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	138745	140157	+	ABK06882.1			Bcen2424_0128	"ethanolamine:proton symporter, EAT family"			1413	470			
Bcen2424_0129	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	140258	141655	+	ABK06883.1			Bcen2424_0129	Ethanolamine ammonia-lyase heavy chain			1398	465			
Bcen2424_0130	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	141652	142449	+	ABK06884.1			Bcen2424_0130	Ethanolamine ammonia-lyase light chain			798	265			
Bcen2424_0131	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	142442	143326	-	ABK06885.1			Bcen2424_0131	"transcriptional regulator, LysR family"			885	294			
Bcen2424_0132	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	143491	145116	+	ABK06886.1			Bcen2424_0132	major facilitator superfamily MFS_1			1626	541			
Bcen2424_0133	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	145358	145918	-	ABK06887.1			Bcen2424_0133	"pyridoxamine 5'-phosphate oxidase-related, FMN-binding protein"			561	186			
Bcen2424_0134	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	146118	147644	+	ABK06888.1			Bcen2424_0134	Aldehyde dehydrogenase (NAD(+))			1527	508		3	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]|00620 Pyruvate metabolism [PATH:ko00620]
Bcen2424_0135	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	147803	148375	+	ABK06889.1			Bcen2424_0135	conserved hypothetical protein			573	190			
