"Gene","product_accession","Description","chromosome","start","end","strand","feature_interval_length","product_length","assembly_unit","level","annotation"
"Bcen2424_0047","ABK06801.1","drug resistance transporter, EmrB/QacA subfamily","1","  47883","  49445","-"," 1563"," 520","Primary Assembly",NA,""
"Bcen2424_0048","ABK06802.1","transcriptional regulator, MarR family","1","  49622","  50110","-","  489"," 162","Primary Assembly",NA,""
"Bcen2424_0049","ABK06803.1","conserved hypothetical protein","1","  50285","  50572","+","  288","  95","Primary Assembly",NA,""
"Bcen2424_0050","ABK06804.1","RND efflux system, outer membrane lipoprotein, NodT family","1","  50854","  52425","+"," 1572"," 523","Primary Assembly",NA,""
"Bcen2424_0051","ABK06805.1","conserved hypothetical protein","1","  52457","  53281","-","  825"," 274","Primary Assembly",NA,""
"Bcen2424_0052","ABK06806.1","General secretion pathway M protein","1","  53282","  53788","-","  507"," 168","Primary Assembly",NA,""
"Bcen2424_0053","ABK06807.1","general secretion pathway protein L","1","  53785","  55158","-"," 1374"," 457","Primary Assembly",NA,""
"Bcen2424_0054","ABK06808.1","General secretion pathway protein K","1","  55185","  56294","-"," 1110"," 369","Primary Assembly",NA,""
"Bcen2424_0055","ABK06809.1","general secretion pathway protein","1","  56297","  56995","-","  699"," 232","Primary Assembly",NA,""
"Bcen2424_0056","ABK06810.1","general secretion pathway protein I","1","  56973","  57374","-","  402"," 133","Primary Assembly",NA,""
"Bcen2424_0057","ABK06811.1","general secretion pathway protein H","1","  57377","  57946","-","  570"," 189","Primary Assembly",NA,""
"Bcen2424_0058","ABK06812.1","general secretion pathway protein G","1","  57986","  58438","-","  453"," 150","Primary Assembly",NA,""
"Bcen2424_0059","ABK06813.1","conserved hypothetical protein","1","  58614","  59024","+","  411"," 136","Primary Assembly",NA,""
"Bcen2424_0060","ABK06814.1","general secretion pathway protein F","1","  59062","  60279","-"," 1218"," 405","Primary Assembly",NA,""
"Bcen2424_0061","ABK06815.1","type II secretion system protein E (GspE)","1","  60284","  61783","-"," 1500"," 499","Primary Assembly",NA,""
"Bcen2424_0062","ABK06816.1","general secretion pathway protein D","1","  61780","  64104","-"," 2325"," 774","Primary Assembly",NA,""
"Bcen2424_0063","ABK06817.1","Lytic transglycosylase, catalytic","1","  64473","  64967","+","  495"," 164","Primary Assembly",NA,""
"Bcen2424_0064","ABK06818.1","cobalamin synthesis protein, P47K","1","  65121","  66434","+"," 1314"," 437","Primary Assembly",NA,""
"Bcen2424_0065","ABK06819.1","histone family protein DNA-binding protein","1","  66563","  66841","-","  279","  92","Primary Assembly",NA,""
"Bcen2424_0066","ABK06820.1","FAD dependent oxidoreductase","1","  67230","  69161","+"," 1932"," 643","Primary Assembly",NA,""
"Bcen2424_0067","ABK06821.1","conserved hypothetical protein","1","  69463","  69789","+","  327"," 108","Primary Assembly",NA,""
"Bcen2424_0068","ABK06822.1","transporter, CPA2 family","1","  69833","  71047","+"," 1215"," 404","Primary Assembly",NA,""
"Bcen2424_0069","ABK06823.1","uncharacterized enzyme","1","  71062","  72177","+"," 1116"," 371","Primary Assembly",NA,""
"Bcen2424_0070","ABK06824.1","transcriptional regulator, MarR family","1","  72682","  73320","+","  639"," 212","Primary Assembly",NA,""
"Bcen2424_0071","ABK06825.1","glutamine amidotransferase class-I","1","  73349","  74059","+","  711"," 236","Primary Assembly",NA,""
"Bcen2424_0072","ABK06826.1","NADH:flavin oxidoreductase/NADH oxidase","1","  74288","  75400","+"," 1113"," 370","Primary Assembly",NA,""
"Bcen2424_0073","ABK06827.1","nuclear protein SET","1","  75578","  76108","+","  531"," 176","Primary Assembly",NA,""
"Bcen2424_0074","ABK06828.1","periplasmic sensor signal transduction histidine kinase","1","  76270","  77754","-"," 1485"," 494","Primary Assembly",NA,""
"Bcen2424_0075","ABK06829.1","two component transcriptional regulator, winged helix family","1","  77876","  78568","-","  693"," 230","Primary Assembly",NA,""
"Bcen2424_0076","ABK06830.1","conserved hypothetical protein","1","  78661","  78921","+","  261","  86","Primary Assembly",NA,""
"Bcen2424_0077","ABK06831.1","pterin-4-alpha-carbinolamine dehydratase","1","  79021","  79329","-","  309"," 102","Primary Assembly",NA,""
"Bcen2424_0078","ABK06832.1","Phenylalanine 4-hydroxylase","1","  79461","  80423","-","  963"," 320","Primary Assembly"," 3","00360 Phenylalanine metabolism PATH:ko00360 - 00400 Phenylalanine, tyrosine and tryptophan biosynthesis PATH:ko00400 - 00790 Folate biosynthesis PATH:ko00790"
"Bcen2424_0079","ABK06833.1","transcriptional regulator, AsnC family","1","  80493","  80978","+","  486"," 161","Primary Assembly",NA,""
"Bcen2424_0080","ABK06834.1","adenylate cyclase","1","  81045","  81578","-","  534"," 177","Primary Assembly",NA,""
"Bcen2424_0081","ABK06835.1","transcriptional regulator, LysR family","1","  81787","  82725","-","  939"," 312","Primary Assembly",NA,""
"Bcen2424_0082","ABK06836.1","glucose-methanol-choline oxidoreductase","1","  82916","  84652","+"," 1737"," 578","Primary Assembly",NA,""
"Bcen2424_0083","ABK06837.1","amino acid/amide ABC transporter ATP-binding protein 1, HAAT family","1","  85086","  85865","+","  780"," 259","Primary Assembly"," 3","02010 ABC transporters PATH:ko02010 - 02024 Quorum sensing PATH:ko02024"
"Bcen2424_0084","ABK06838.1","amino acid/amide ABC transporter ATP-binding protein 2, HAAT family","1","  85862","  86617","+","  756"," 251","Primary Assembly"," 3","02010 ABC transporters PATH:ko02010 - 02024 Quorum sensing PATH:ko02024"
"Bcen2424_0085","ABK06839.1","amino acid/amide ABC transporter substrate-binding protein, HAAT family","1","  86695","  87894","+"," 1200"," 399","Primary Assembly"," 3","02010 ABC transporters PATH:ko02010 - 02024 Quorum sensing PATH:ko02024"
"Bcen2424_0086","ABK06840.1","amino acid/amide ABC transporter membrane protein 1, HAAT family","1","  87945","  88907","+","  963"," 320","Primary Assembly"," 3","02010 ABC transporters PATH:ko02010 - 02024 Quorum sensing PATH:ko02024"
"Bcen2424_0087","ABK06841.1","amino acid/amide ABC transporter membrane protein 2, HAAT family","1","  88907","  89884","+","  978"," 325","Primary Assembly"," 3","02010 ABC transporters PATH:ko02010 - 02024 Quorum sensing PATH:ko02024"
"Bcen2424_0088","ABK06842.1","hypothetical protein","1","  89996","  90295","+","  300","  99","Primary Assembly",NA,""
"Bcen2424_0089","ABK06843.1","amino acid/amide ABC transporter substrate-binding protein, HAAT family","1","  90949","  92106","+"," 1158"," 385","Primary Assembly"," 3","02010 ABC transporters PATH:ko02010 - 02024 Quorum sensing PATH:ko02024"
"Bcen2424_0090","ABK06844.1","amino acid/amide ABC transporter membrane protein 1, HAAT family","1","  92176","  93360","+"," 1185"," 394","Primary Assembly"," 3","02010 ABC transporters PATH:ko02010 - 02024 Quorum sensing PATH:ko02024"
"Bcen2424_0091","ABK06845.1","amino acid/amide ABC transporter membrane protein 2, HAAT family / amino acid/amide ABC transporter ATP-binding protein 1, HAAT family","1","  93365","  95149","+"," 1785"," 594","Primary Assembly"," 3","02010 ABC transporters PATH:ko02010 - 02024 Quorum sensing PATH:ko02024"
"Bcen2424_0092","ABK06846.1","amino acid/amide ABC transporter ATP-binding protein 2, HAAT family","1","  95149","  95904","+","  756"," 251","Primary Assembly"," 3","02010 ABC transporters PATH:ko02010 - 02024 Quorum sensing PATH:ko02024"
"Bcen2424_0093","ABK06847.1","glucose inhibited division protein A","1","  96438","  98408","+"," 1971"," 656","Primary Assembly",NA,""
"Bcen2424_0094","ABK06848.1","16S rRNA m(7)G-527 methyltransferase","1","  98405","  99091","+","  687"," 228","Primary Assembly",NA,""
"Bcen2424_0095","ABK06849.1","chromosome segregation ATPase","1","  99143","  99922","+","  780"," 259","Primary Assembly",NA,""
"Bcen2424_0096","ABK06850.1","chromosome segregation DNA-binding protein","1","  99930"," 100847","+","  918"," 305","Primary Assembly",NA,""
"Bcen2424_0097","ABK06851.1","transporter, YbiR family","1"," 100858"," 101988","+"," 1131"," 376","Primary Assembly",NA,""
"Bcen2424_0098","ABK06852.1","conserved hypothetical protein","1"," 102123"," 102440","+","  318"," 105","Primary Assembly",NA,""
"Bcen2424_0099","ABK06853.1","F0F1-type ATP synthase subunit I-like protein","1"," 102555"," 103079","+","  525"," 174","Primary Assembly",NA,""
"Bcen2424_0100","ABK06854.1","ATP synthase F0, A subunit","1"," 103190"," 104041","+","  852"," 283","Primary Assembly",NA,""
"Bcen2424_0101","ABK06855.1","ATP synthase F0, C subunit","1"," 104117"," 104386","+","  270","  89","Primary Assembly",NA,""
"Bcen2424_0102","ABK06856.1","ATP synthase F0 subcomplex B subunit","1"," 104516"," 104986","+","  471"," 156","Primary Assembly",NA,""
"Bcen2424_0103","ABK06857.1","ATP synthase F1 subcomplex delta subunit","1"," 104989"," 105528","+","  540"," 179","Primary Assembly",NA,""
"Bcen2424_0104","ABK06858.1","ATP synthase F1 subcomplex alpha subunit","1"," 105573"," 107114","+"," 1542"," 513","Primary Assembly",NA,""
"Bcen2424_0105","ABK06859.1","ATP synthase F1 subcomplex gamma subunit","1"," 107184"," 108059","+","  876"," 291","Primary Assembly",NA,""
"Bcen2424_0106","ABK06860.1","ATP synthase F1 subcomplex beta subunit","1"," 108126"," 109520","+"," 1395"," 464","Primary Assembly",NA,""
"Bcen2424_0107","ABK06861.1","ATP synthase F1 subcomplex epsilon subunit","1"," 109641"," 110066","+","  426"," 141","Primary Assembly",NA,""
"Bcen2424_0108","ABK06862.1","AMP-dependent synthetase and ligase","1"," 110330"," 112057","+"," 1728"," 575","Primary Assembly",NA,""
"Bcen2424_0109","ABK06863.1","hypothetical protein","1"," 112343"," 112720","-","  378"," 125","Primary Assembly",NA,""
"Bcen2424_0110","ABK06864.1","cyclohexadienyl dehydratase","1"," 112747"," 113559","-","  813"," 270","Primary Assembly",NA,""
"Bcen2424_0111","ABK06865.1","uroporphyrinogen decarboxylase","1"," 113625"," 114803","+"," 1179"," 392","Primary Assembly",NA,""
"Bcen2424_0112","ABK06866.1","primosomal protein N'","1"," 115255"," 117516","+"," 2262"," 753","Primary Assembly",NA,""
"Bcen2424_0113","ABK06867.1","L-proline dehydrogenase / delta-1-pyrroline-5-carboxylate dehydrogenase","1"," 117943"," 121875","+"," 3933","1310","Primary Assembly"," 3","00250 Alanine, aspartate and glutamate metabolism PATH:ko00250 - 00330 Arginine and proline metabolism PATH:ko00330"
"Bcen2424_0114","ABK06868.1","amino acid/amide ABC transporter substrate-binding protein, HAAT family","1"," 121960"," 123099","+"," 1140"," 379","Primary Assembly"," 3","02010 ABC transporters PATH:ko02010 - 02024 Quorum sensing PATH:ko02024"
"Bcen2424_0115","ABK06869.1","conserved hypothetical protein","1"," 123306"," 123716","-","  411"," 136","Primary Assembly",NA,""
"Bcen2424_0116","ABK06870.1","AMP-dependent synthetase and ligase","1"," 123936"," 125444","-"," 1509"," 502","Primary Assembly",NA,""
"Bcen2424_0117","ABK06871.1","acyl-CoA dehydrogenase domain protein","1"," 125495"," 127147","-"," 1653"," 550","Primary Assembly",NA,""
"Bcen2424_0118","ABK06872.1","transcriptional regulator, TetR family","1"," 127279"," 127947","+","  669"," 222","Primary Assembly",NA,""
"Bcen2424_0119","ABK06873.1","2-keto-4-methylthiobutyrate aminotransferase apoenzyme","1"," 128154"," 129308","+"," 1155"," 384","Primary Assembly",NA,""
"Bcen2424_0120","ABK06874.1","amino acid ABC transporter substrate-binding protein, PAAT family","1"," 129366"," 130154","+","  789"," 262","Primary Assembly",NA,""
"Bcen2424_0121","ABK06875.1","FAD linked oxidase domain protein","1"," 130170"," 131600","+"," 1431"," 476","Primary Assembly",NA,""
"Bcen2424_0122","ABK06876.1","transcriptional regulator, PadR family","1"," 131646"," 132218","-","  573"," 190","Primary Assembly",NA,""
"Bcen2424_0123","ABK06877.1","transcriptional regulator, MerR family","1"," 132287"," 132718","-","  432"," 143","Primary Assembly",NA,""
"Bcen2424_0124","ABK06878.1","heavy metal translocating P-type ATPase","1"," 132800"," 135340","+"," 2541"," 846","Primary Assembly",NA,""
"Bcen2424_0125","ABK06879.1","conserved hypothetical protein","1"," 135351"," 135734","+","  384"," 127","Primary Assembly",NA,""
"Bcen2424_0126","ABK06880.1","transcriptional regulator, AraC family","1"," 135893"," 136774","-","  882"," 293","Primary Assembly",NA,""
"Bcen2424_0127","ABK06881.1","Conserved TM helix repeat-containing protein","1"," 137050"," 138513","+"," 1464"," 487","Primary Assembly",NA,""
"Bcen2424_0128","ABK06882.1","ethanolamine:proton symporter, EAT family","1"," 138745"," 140157","+"," 1413"," 470","Primary Assembly",NA,""
"Bcen2424_0129","ABK06883.1","Ethanolamine ammonia-lyase heavy chain","1"," 140258"," 141655","+"," 1398"," 465","Primary Assembly",NA,""
"Bcen2424_0130","ABK06884.1","Ethanolamine ammonia-lyase light chain","1"," 141652"," 142449","+","  798"," 265","Primary Assembly",NA,""
"Bcen2424_0131","ABK06885.1","transcriptional regulator, LysR family","1"," 142442"," 143326","-","  885"," 294","Primary Assembly",NA,""
"Bcen2424_0132","ABK06886.1","major facilitator superfamily MFS_1","1"," 143491"," 145116","+"," 1626"," 541","Primary Assembly",NA,""
"Bcen2424_0133","ABK06887.1","pyridoxamine 5'-phosphate oxidase-related, FMN-binding protein","1"," 145358"," 145918","-","  561"," 186","Primary Assembly",NA,""
"Bcen2424_0134","ABK06888.1","Aldehyde dehydrogenase (NAD(+))","1"," 146118"," 147644","+"," 1527"," 508","Primary Assembly"," 3","00010 Glycolysis / Gluconeogenesis PATH:ko00010 - 00620 Pyruvate metabolism PATH:ko00620"
"Bcen2424_0135","ABK06889.1","conserved hypothetical protein","1"," 147803"," 148375","+","  573"," 190","Primary Assembly",NA,""
"Bcen2424_0136","ABK06890.1","transcriptional regulator, AraC family","1"," 148553"," 149608","+"," 1056"," 351","Primary Assembly",NA,""
"Bcen2424_0137","ABK06891.1","conserved hypothetical protein","1"," 149835"," 150926","-"," 1092"," 363","Primary Assembly",NA,""
"Bcen2424_0138","ABK06892.1","thiamine pyrophosphate enzyme domain protein TPP-binding protein","1"," 150923"," 152626","-"," 1704"," 567","Primary Assembly"," 3","00650 Butanoate metabolism PATH:ko00650 - 00660 C5-Branched dibasic acid metabolism PATH:ko00660 - 00290 Valine, leucine and isoleucine biosynthesis PATH:ko00290 - 00770 Pantothenate and CoA biosynthesis PATH:ko00770"
"Bcen2424_0139","ABK06893.1","conserved hypothetical protein","1"," 152905"," 153366","+","  462"," 153","Primary Assembly",NA,""
"Bcen2424_0140","ABK06894.1","addiction module toxin, RelE/StbE family","1"," 153363"," 153647","+","  285","  94","Primary Assembly",NA,""
"Bcen2424_0141","ABK06895.1","SpoVT/AbrB-like protein","1"," 153831"," 154067","+","  237","  78","Primary Assembly",NA,""
"Bcen2424_0142","ABK06896.1","L-serine ammonia-lyase","1"," 154127"," 155515","-"," 1389"," 462","Primary Assembly"," 3","00260 Glycine, serine and threonine metabolism PATH:ko00260 - 00270 Cysteine and methionine metabolism PATH:ko00270"
"Bcen2424_0143","ABK06897.1","conserved hypothetical protein","1"," 155546"," 156688","-"," 1143"," 380","Primary Assembly",NA,""
"Bcen2424_0144","ABK06898.1","glycine dehydrogenase","1"," 156843"," 159770","-"," 2928"," 975","Primary Assembly"," 3","00630 Glyoxylate and dicarboxylate metabolism PATH:ko00630 - 00260 Glycine, serine and threonine metabolism PATH:ko00260"
"Bcen2424_0145","ABK06899.1","glycine cleavage system H protein","1"," 159832"," 160212","-","  381"," 126","Primary Assembly"," 3","00630 Glyoxylate and dicarboxylate metabolism PATH:ko00630 - 00260 Glycine, serine and threonine metabolism PATH:ko00260"
"Bcen2424_0146","ABK06900.1","glycine cleavage system T protein","1"," 160339"," 161544","-"," 1206"," 401","Primary Assembly"," 3","00630 Glyoxylate and dicarboxylate metabolism PATH:ko00630 - 00260 Glycine, serine and threonine metabolism PATH:ko00260 - 00670 One carbon pool by folate PATH:ko00670"
"Bcen2424_0147","ABK06901.1","conserved hypothetical protein","1"," 161928"," 162293","-","  366"," 121","Primary Assembly",NA,""
"Bcen2424_0148","ABK06902.1","oxidoreductase domain protein","1"," 162515"," 163567","-"," 1053"," 350","Primary Assembly",NA,""
"Bcen2424_0149","ABK06903.1","conserved hypothetical protein","1"," 163959"," 164666","-","  708"," 235","Primary Assembly",NA,""
"Bcen2424_0150","ABK06904.1","UvrD/REP helicase","1"," 164978"," 167065","+"," 2088"," 695","Primary Assembly",NA,""
"Bcen2424_0151","ABK06905.1","cytochrome c, class I","1"," 167175"," 168062","-","  888"," 295","Primary Assembly",NA,""
"Bcen2424_0152","ABK06906.1","phage transcriptional regulator, AlpA","1"," 168700"," 169842","+"," 1143"," 380","Primary Assembly",NA,""
"Bcen2424_0153","ABK06907.1","hypothetical protein","1"," 170343"," 171272","-","  930"," 309","Primary Assembly",NA,""
"Bcen2424_0154","ABK06908.1","methyl-accepting chemotaxis sensory transducer","1"," 171556"," 172761","-"," 1206"," 401","Primary Assembly",NA,""
"Bcen2424_0155","ABK06909.1","porin, Gram-negative type","1"," 172777"," 173889","-"," 1113"," 370","Primary Assembly",NA,""
"Bcen2424_0156","ABK06910.1","transcriptional regulator, GntR family","1"," 174096"," 174821","-","  726"," 241","Primary Assembly",NA,""
"Bcen2424_0157","ABK06911.1","protein of unknown function DUF336","1"," 174992"," 175417","+","  426"," 141","Primary Assembly",NA,""
"Bcen2424_0158","ABK06912.1","Aminocarboxymuconate-semialdehyde decarboxylase","1"," 175431"," 176471","+"," 1041"," 346","Primary Assembly",NA,""
"Bcen2424_0159","ABK06913.1","Glyoxalase/bleomycin resistance protein/dioxygenase","1"," 176473"," 177384","+","  912"," 303","Primary Assembly",NA,""
"Bcen2424_0160","ABK06914.1","5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase","1"," 177438"," 178304","+","  867"," 288","Primary Assembly",NA,""
"Bcen2424_0161","ABK06915.1","monooxygenase, FAD-binding protein","1"," 178301"," 179893","+"," 1593"," 530","Primary Assembly",NA,""
"Bcen2424_0162","ABK06916.1","major facilitator superfamily MFS_1","1"," 180076"," 181479","+"," 1404"," 467","Primary Assembly",NA,""
"Bcen2424_0163","ABK06917.1","transcriptional regulator, LysR family","1"," 181560"," 182471","+","  912"," 303","Primary Assembly",NA,""
"Bcen2424_0164","ABK06918.1","conserved hypothetical protein","1"," 182532"," 183452","-","  921"," 306","Primary Assembly",NA,""
"Bcen2424_0165","ABK06919.1","Alpha/beta hydrolase fold-3 domain protein","1"," 183649"," 184551","-","  903"," 300","Primary Assembly",NA,""
"Bcen2424_0166","ABK06920.1","amidohydrolase","1"," 184577"," 185833","-"," 1257"," 418","Primary Assembly",NA,""
"Bcen2424_0167","ABK06921.1","major facilitator superfamily MFS_1","1"," 185870"," 187057","-"," 1188"," 395","Primary Assembly",NA,""
"Bcen2424_0168","ABK06922.1","alpha-L-rhamnosidase","1"," 187257"," 189908","+"," 2652"," 883","Primary Assembly",NA,""
"Bcen2424_0169","ABK06923.1","hypothetical protein","1"," 189884"," 190468","-","  585"," 194","Primary Assembly",NA,""
"Bcen2424_0170","ABK06924.1","hypothetical protein","1"," 190575"," 190850","-","  276","  91","Primary Assembly",NA,""
"Bcen2424_0171","ABK06925.1","NAD-dependent aldehyde dehydrogenases-like protein","1"," 190969"," 191502","-","  534"," 177","Primary Assembly"," 3","00640 Propanoate metabolism PATH:ko00640 - 00562 Inositol phosphate metabolism PATH:ko00562 - 00280 Valine, leucine and isoleucine degradation PATH:ko00280 - 00410 beta-Alanine metabolism PATH:ko00410"
"Bcen2424_0172","ABK06926.1","transposase and inactivated derivatives-like protein","1"," 191783"," 192226","+","  444"," 147","Primary Assembly",NA,""
"Bcen2424_0173","ABK06927.1","transposase, IS4 family","1"," 192223"," 192594","+","  372"," 123","Primary Assembly",NA,""
"Bcen2424_0174","ABK06928.1","short-chain dehydrogenase/reductase SDR","1"," 192700"," 193467","+","  768"," 255","Primary Assembly"," 3","00061 Fatty acid biosynthesis PATH:ko00061 - 00780 Biotin metabolism PATH:ko00780 - 00333 Prodigiosin biosynthesis PATH:ko00333"
"Bcen2424_0175","ABK06929.1","AMP-dependent synthetase and ligase","1"," 193504"," 195177","+"," 1674"," 557","Primary Assembly",NA,""
"Bcen2424_0176","ABK06930.1","Enoyl-CoA hydratase","1"," 195174"," 195920","+","  747"," 248","Primary Assembly",NA,""
"Bcen2424_0177","ABK06931.1","short chain enoyl-CoA hydratase","1"," 195917"," 196720","+","  804"," 267","Primary Assembly",NA,""
"Bcen2424_0178","ABK06932.1","transcriptional regulator, TetR family","1"," 196752"," 197471","-","  720"," 239","Primary Assembly",NA,""
"Bcen2424_0179","ABK06933.1","amidohydrolase 2","1"," 197615"," 198499","+","  885"," 294","Primary Assembly",NA,""
"Bcen2424_0180","ABK06934.1","major facilitator superfamily MFS_1","1"," 198609"," 199871","+"," 1263"," 420","Primary Assembly",NA,""
"Bcen2424_0181","ABK06935.1","outer membrane protein (porin)","1"," 199905"," 201062","+"," 1158"," 385","Primary Assembly",NA,""
"Bcen2424_0182","ABK06936.1","Carboxylesterase, type B","1"," 201175"," 202872","+"," 1698"," 565","Primary Assembly",NA,""
"Bcen2424_0183","ABK06937.1","transcriptional regulator, HxlR family","1"," 203608"," 204030","-","  423"," 140","Primary Assembly",NA,""
