locusTag	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non.redundant_refseq	related_accession	name	symbol	GeneID	feature_interval_length	product_length	attributes	level	annotation
Bcen2424_3169	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	2898	3218	-	ABK09916.1	NA	NA	conserved hypothetical protein	NA	NA	321	106	NA	NA	
Bcen2424_6792	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	3155	3766	+	ABK13521.1	NA	NA	hypothetical protein	NA	NA	612	203	NA	NA	
Bcen2424_0003	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	3224	5698	+	ABK06757.1	NA	NA	DNA gyrase subunit B	NA	NA	2475	824	NA	NA	
Bcen2424_3171	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	3573	4538	-	ABK09917.1	NA	NA	MscS Mechanosensitive ion channel	NA	NA	966	321	NA	NA	
Bcen2424_6793	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	4030	4509	+	ABK13522.1	NA	NA	conserved hypothetical protein	NA	NA	480	159	NA	NA	
Bcen2424_5872	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	4260	5303	+	ABK12605.1	NA	NA	glycosyl transferase, family 2	NA	NA	1044	347	NA	NA	
Bcen2424_6794	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	4502	5824	+	ABK13523.1	NA	NA	TraB pilus assembly family protein	NA	NA	1323	440	NA	NA	
Bcen2424_3172	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	4723	6096	+	ABK09918.1	NA	NA	peptidase M23B	NA	NA	1374	457	NA	NA	
Bcen2424_5873	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	5316	5699	+	ABK12606.1	NA	NA	GtrA family protein	NA	NA	384	127	NA	NA	
Bcen2424_6795	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	5817	6638	+	ABK13524.1	NA	NA	hypothetical protein	NA	NA	822	273	NA	NA	
Bcen2424_5874	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	5995	6498	+	ABK12607.1	NA	NA	conserved hypothetical protein	NA	NA	504	167	NA	NA	
Bcen2424_3173	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	6422	7519	+	ABK09919.1	NA	NA	Catalase domain protein	NA	NA	1098	365	NA	3	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]|00380 Tryptophan metabolism [PATH:ko00380]
Bcen2424_0004	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	6509	8014	+	ABK06758.1	NA	NA	Integrase, catalytic region	NA	NA	1506	501	NA	NA	
Bcen2424_5875	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	6564	7103	+	ABK12608.1	NA	NA	conserved hypothetical protein	NA	NA	540	179	NA	NA	
Bcen2424_6796	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	6635	7063	+	ABK13525.1	NA	NA	conserved hypothetical protein	NA	NA	429	142	NA	NA	
Bcen2424_6797	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	7060	7518	+	ABK13526.1	NA	NA	hypothetical protein	NA	NA	459	152	NA	NA	
Bcen2424_5876	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	7176	8117	-	ABK12609.1	NA	NA	amino acid ABC transporter substrate-binding protein, PAAT family	NA	NA	942	313	NA	NA	
Bcen2424_3174	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	7516	8082	+	ABK09920.1	NA	NA	cytochrome B561	NA	NA	567	188	NA	NA	
Bcen2424_6798	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	7853	8146	+	ABK13527.1	NA	NA	hypothetical protein	NA	NA	294	97	NA	NA	
Bcen2424_0005	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	8007	8804	+	ABK06759.1	NA	NA	IstB domain protein ATP-binding protein	NA	NA	798	265	NA	NA	
Bcen2424_5877	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	8204	9325	-	ABK12610.1	NA	NA	conserved hypothetical protein	NA	NA	1122	373	NA	NA	
Bcen2424_6799	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	8224	9054	+	ABK13528.1	NA	NA	protein-disulfide isomerase	NA	NA	831	276	NA	NA	
Bcen2424_3175	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	8624	11905	+	ABK09921.1	NA	NA	outer membrane autotransporter barrel domain protein	NA	NA	3282	1093	NA	NA	
Bcen2424_0006	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	8871	8987	-	ABK06760.1	NA	NA	DNA (cytosine-5-)-methyltransferase	NA	NA	117	38	NA	NA	
Bcen2424_6800	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	9057	9737	+	ABK13529.1	NA	NA	conserved hypothetical protein	NA	NA	681	226	NA	NA	
Bcen2424_0007	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	9308	9568	+	ABK06761.1	NA	NA	transposase IS3/IS911 family protein	NA	NA	261	86	NA	NA	
Bcen2424_0008	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	9607	9924	+	ABK06762.1	NA	NA	putative insertion element protein	NA	NA	318	105	NA	NA	
Bcen2424_5878	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	9720	11171	+	ABK12611.1	NA	NA	major facilitator superfamily MFS_1	NA	NA	1452	483	NA	NA	
Bcen2424_6801	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	9752	12346	+	ABK13530.1	NA	NA	conserved hypothetical protein	NA	NA	2595	864	NA	NA	
Bcen2424_R0001	RNA	GCA_000203955.1	NA	chromosome	1	CP000458.1	10007	10119	-	NA	NA	NA	NA	NA	NA	113	NA	NA	NA	NA
Bcen2424_R0002	RNA	GCA_000203955.1	NA	chromosome	1	CP000458.1	10273	13154	-	NA	NA	NA	NA	NA	NA	2882	NA	NA	NA	NA
Bcen2424_5879	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	11224	12492	+	ABK12612.1	NA	NA	phosphoribosylglycinamide synthetase	NA	NA	1269	422	NA	NA	
Bcen2424_3176	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	12063	12797	-	ABK09922.1	NA	NA	Fucose-binding lectin II	NA	NA	735	244	NA	NA	
Bcen2424_6802	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	12343	12717	+	ABK13531.1	NA	NA	hypothetical protein	NA	NA	375	124	NA	NA	
Bcen2424_5880	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	12501	13376	-	ABK12613.1	NA	NA	transcriptional regulator, LysR family	NA	NA	876	291	NA	NA	
Bcen2424_6803	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	12932	13441	+	ABK13532.1	NA	NA	Type IV secretory pathway protease TraF-like protein	NA	NA	510	169	NA	NA	
Bcen2424_3177	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	12960	13778	-	ABK09923.1	NA	NA	Fucose-binding lectin II	NA	NA	819	272	NA	NA	
Bcen2424_5881	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	13524	14468	+	ABK12614.1	NA	NA	conserved hypothetical protein	NA	NA	945	314	NA	NA	
Bcen2424_R0003	RNA	GCA_000203955.1	NA	chromosome	1	CP000458.1	13546	15023	-	NA	NA	NA	NA	NA	NA	1478	NA	NA	NA	NA
Bcen2424_6804	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	13734	14375	+	ABK13533.1	NA	NA	conserved hypothetical protein	NA	NA	642	213	NA	NA	
Bcen2424_3178	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	13893	14282	-	ABK09924.1	NA	NA	Fucose-binding lectin II	NA	NA	390	129	NA	NA	
Bcen2424_6805	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	14422	15114	+	ABK13534.1	NA	NA	hypothetical protein	NA	NA	693	230	NA	NA	
Bcen2424_5882	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	14506	15717	+	ABK12615.1	NA	NA	phosphoribosylglycinamide synthetase	NA	NA	1212	403	NA	NA	
Bcen2424_6806	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	15111	16142	+	ABK13535.1	NA	NA	TraU family protein	NA	NA	1032	343	NA	NA	
Bcen2424_3179	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	15239	16951	+	ABK09925.1	NA	NA	2-isopropylmalate synthase	NA	NA	1713	570	NA	3	00620 Pyruvate metabolism [PATH:ko00620]|00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]
Bcen2424_0009	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	15657	16187	-	ABK06763.1	NA	NA	cytochrome B561	NA	NA	531	176	NA	NA	
Bcen2424_5883	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	15701	16897	-	ABK12616.1	NA	NA	major facilitator superfamily MFS_1	NA	NA	1197	398	NA	NA	
Bcen2424_6807	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	16139	16927	+	ABK13536.1	NA	NA	conserved hypothetical protein	NA	NA	789	262	NA	NA	
Bcen2424_0010	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	16187	17272	-	ABK06764.1	NA	NA	Catalase domain protein	NA	NA	1086	361	NA	3	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]|00380 Tryptophan metabolism [PATH:ko00380]
Bcen2424_6808	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	16924	18213	+	ABK13537.1	NA	NA	hypothetical protein	NA	NA	1290	429	NA	NA	
Bcen2424_5884	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	16993	17883	+	ABK12617.1	NA	NA	transcriptional regulator, LysR family	NA	NA	891	296	NA	NA	
Bcen2424_3180	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	17023	17736	-	ABK09926.1	NA	NA	transcriptional regulator, LuxR family	NA	NA	714	237	NA	NA	
Bcen2424_0011	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	17431	17952	+	ABK06765.1	NA	NA	RNA polymerase, sigma-24 subunit, RpoE	NA	NA	522	173	NA	NA	
Bcen2424_3181	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	17933	18748	+	ABK09927.1	NA	NA	transcriptional regulator, AraC family	NA	NA	816	271	NA	NA	
Bcen2424_0012	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	17949	18707	+	ABK06766.1	NA	NA	putative transmembrane anti-sigma factor	NA	NA	759	252	NA	NA	
Bcen2424_5885	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	17950	18564	-	ABK12618.1	NA	NA	NIPSNAP family containing protein	NA	NA	615	204	NA	NA	
Bcen2424_6809	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	18210	19490	+	ABK13538.1	NA	NA	hypothetical protein	NA	NA	1281	426	NA	NA	
Bcen2424_5886	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	18661	19581	+	ABK12619.1	NA	NA	transcriptional regulator, LysR family	NA	NA	921	306	NA	NA	
Bcen2424_3182	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	18772	20118	-	ABK09928.1	NA	NA	aminotransferase	NA	NA	1347	448	NA	NA	
Bcen2424_0013	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	19024	19350	+	ABK06767.1	NA	NA	conserved hypothetical protein	NA	NA	327	108	NA	NA	
Bcen2424_0014	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	19296	19613	-	ABK06768.1	NA	NA	conserved hypothetical protein	NA	NA	318	105	NA	NA	
Bcen2424_6810	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	19487	19879	+	ABK13539.1	NA	NA	hypothetical protein	NA	NA	393	130	NA	NA	
Bcen2424_5887	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	19765	19989	-	ABK12620.1	NA	NA	conserved hypothetical protein	NA	NA	225	74	NA	NA	
Bcen2424_0015	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	19796	20053	-	ABK06769.1	NA	NA	conserved hypothetical protein	NA	NA	258	85	NA	NA	
Bcen2424_0016	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	20072	20401	-	ABK06770.1	NA	NA	conserved hypothetical protein	NA	NA	330	109	NA	NA	
Bcen2424_3183	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	20175	21536	-	ABK09929.1	NA	NA	condensation domain protein	NA	NA	1362	453	NA	NA	
Bcen2424_5888	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	20265	20468	-	ABK12621.1	NA	NA	cold-shock DNA-binding domain protein	NA	NA	204	67	NA	NA	
Bcen2424_6811	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	20310	20567	-	ABK13540.1	NA	NA	hypothetical protein	NA	NA	258	85	NA	NA	
Bcen2424_0017	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	20433	20693	-	ABK06771.1	NA	NA	conserved hypothetical protein	NA	NA	261	86	NA	NA	
Bcen2424_6812	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	20572	21396	+	ABK13541.1	NA	NA	hypothetical protein	NA	NA	825	274	NA	NA	
Bcen2424_5889	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	20776	21879	-	ABK12622.1	NA	NA	alpha/beta hydrolase fold protein	NA	NA	1104	367	NA	NA	
Bcen2424_R0004	RNA	GCA_000203955.1	NA	chromosome	1	CP000458.1	21288	21364	+	NA	NA	NA	NA	NA	NA	77	NA	NA	NA	NA
Bcen2424_6813	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	21393	22202	+	ABK13542.1	NA	NA	conserved hypothetical protein	NA	NA	810	269	NA	NA	
Bcen2424_0018	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	21686	22201	+	ABK06772.1	NA	NA	conserved hypothetical protein	NA	NA	516	171	NA	NA	
Bcen2424_3184	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	21934	22716	+	ABK09930.1	NA	NA	conserved hypothetical protein	NA	NA	783	260	NA	NA	
Bcen2424_5890	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	22087	22716	+	ABK12623.1	NA	NA	transcriptional regulator, TetR family	NA	NA	630	209	NA	NA	
Bcen2424_6814	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	22202	23647	+	ABK13543.1	NA	NA	TraH family protein	NA	NA	1446	481	NA	NA	
Bcen2424_0019	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	22304	23185	-	ABK06773.1	NA	NA	RNA polymerase, sigma-24 subunit, RpoE	NA	NA	882	293	NA	NA	
Bcen2424_3185	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	22713	23102	+	ABK09931.1	NA	NA	Cupin 2, conserved barrel domain protein	NA	NA	390	129	NA	NA	
Bcen2424_5891	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	23072	23992	-	ABK12624.1	NA	NA	transcriptional regulator, LysR family	NA	NA	921	306	NA	NA	
Bcen2424_3186	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	23099	24025	+	ABK09932.1	NA	NA	conserved hypothetical protein	NA	NA	927	308	NA	NA	
Bcen2424_0020	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	23185	23661	-	ABK06774.1	NA	NA	alkylhydroperoxidase like protein, AhpD family	NA	NA	477	158	NA	NA	
Bcen2424_6815	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	23644	27585	+	ABK13544.1	NA	NA	TraG domain protein	NA	NA	3942	1313	NA	NA	
Bcen2424_0021	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	24004	24237	+	ABK06775.1	NA	NA	conserved hypothetical protein	NA	NA	234	77	NA	NA	
Bcen2424_3187	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	24035	27601	+	ABK09933.1	NA	NA	amino acid adenylation domain protein	NA	NA	3567	1188	NA	NA	
Bcen2424_5892	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	24074	25024	+	ABK12625.1	NA	NA	ketopantoate reductase	NA	NA	951	316	NA	NA	
Bcen2424_0022	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	24242	25468	+	ABK06776.1	NA	NA	protein of unknown function DUF323	NA	NA	1227	408	NA	NA	
Bcen2424_5893	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	25021	25413	+	ABK12626.1	NA	NA	Glyoxalase/bleomycin resistance protein/dioxygenase	NA	NA	393	130	NA	NA	
Bcen2424_5894	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	25416	25874	+	ABK12627.1	NA	NA	MaoC domain protein dehydratase	NA	NA	459	152	NA	NA	
Bcen2424_0023	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	25452	26465	+	ABK06777.1	NA	NA	conserved hypothetical protein	NA	NA	1014	337	NA	NA	
Bcen2424_5895	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	25874	27094	+	ABK12628.1	NA	NA	Formyl-CoA transferase	NA	NA	1221	406	NA	NA	
Bcen2424_0024	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	26759	27061	+	ABK06778.1	NA	NA	conserved hypothetical protein	NA	NA	303	100	NA	NA	
Bcen2424_5896	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	27091	27927	+	ABK12629.1	NA	NA	shikimate dehydrogenase	NA	NA	837	278	NA	NA	
Bcen2424_0025	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	27114	27326	+	ABK06779.1	NA	NA	conserved hypothetical protein	NA	NA	213	70	NA	NA	
Bcen2424_0026	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	27514	27870	+	ABK06780.1	NA	NA	conserved hypothetical protein	NA	NA	357	118	NA	NA	
Bcen2424_6816	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	27623	28015	-	ABK13545.1	NA	NA	hypothetical protein	NA	NA	393	130	NA	NA	
Bcen2424_3188	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	27657	28145	+	ABK09934.1	NA	NA	conserved hypothetical protein	NA	NA	489	162	NA	NA	
Bcen2424_5897	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	28105	29337	+	ABK12630.1	NA	NA	major facilitator superfamily MFS_1	NA	NA	1233	410	NA	NA	
Bcen2424_0027	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	28136	31162	-	ABK06781.1	NA	NA	type III restriction enzyme, res subunit	NA	NA	3027	1008	NA	NA	
Bcen2424_3189	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	28174	29160	-	ABK09935.1	NA	NA	transcriptional regulator, LysR family	NA	NA	987	328	NA	NA	
Bcen2424_6817	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	28279	28905	+	ABK13546.1	NA	NA	putative endonuclease	NA	NA	627	208	NA	NA	
Bcen2424_6818	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	28939	29199	+	ABK13547.1	NA	NA	hypothetical protein	NA	NA	261	86	NA	NA	
Bcen2424_6819	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	29214	31193	+	ABK13548.1	NA	NA	Zeta toxin family protein	NA	NA	1980	659	NA	NA	
Bcen2424_3190	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	29280	30113	-	ABK09936.1	NA	NA	transcriptional regulator, AraC family	NA	NA	834	277	NA	NA	
Bcen2424_5898	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	29451	30278	-	ABK12631.1	NA	NA	Methyltransferase type 11	NA	NA	828	275	NA	NA	
Bcen2424_3191	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	30170	31663	+	ABK09937.1	NA	NA	RND efflux system, outer membrane lipoprotein, NodT family	NA	NA	1494	497	NA	NA	
Bcen2424_5899	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	30565	31467	-	ABK12632.1	NA	NA	6-phosphogluconate dehydrogenase, NAD-binding protein	NA	NA	903	300	NA	NA	
Bcen2424_0028	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	31162	33180	-	ABK06782.1	NA	NA	Site-specific DNA-methyltransferase (adenine-specific)	NA	NA	2019	672	NA	NA	
Bcen2424_6820	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	31202	31618	+	ABK13549.1	NA	NA	hypothetical protein	NA	NA	417	138	NA	NA	
Bcen2424_5900	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	31525	32853	-	ABK12633.1	NA	NA	major facilitator superfamily MFS_1	NA	NA	1329	442	NA	NA	
Bcen2424_6821	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	31673	32071	+	ABK13550.1	NA	NA	conserved hypothetical lipoprotein	NA	NA	399	132	NA	NA	
Bcen2424_3192	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	31723	32847	+	ABK09938.1	NA	NA	secretion protein HlyD family protein	NA	NA	1125	374	NA	NA	
Bcen2424_6822	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	32198	32707	+	ABK13551.1	NA	NA	hypothetical protein	NA	NA	510	169	NA	NA	
Bcen2424_3193	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	32844	34427	+	ABK09939.1	NA	NA	drug resistance transporter, EmrB/QacA subfamily	NA	NA	1584	527	NA	NA	
Bcen2424_5901	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	32870	33181	-	ABK12634.1	NA	NA	hypothetical protein	NA	NA	312	103	NA	NA	
Bcen2424_6823	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	33228	33710	+	ABK13552.1	NA	NA	thiol:disulfide interchange protein DsbD	NA	NA	483	160	NA	NA	
Bcen2424_5902	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	33249	34169	+	ABK12635.1	NA	NA	transcriptional regulator, LysR family	NA	NA	921	306	NA	NA	
Bcen2424_0029	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	33540	34667	-	ABK06783.1	NA	NA	outer membrane protein (porin)-like protein	NA	NA	1128	375	NA	NA	
Bcen2424_6824	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	34106	38359	+	ABK13553.1	NA	NA	YadA C-terminal domain protein	NA	NA	4254	1417	NA	NA	
Bcen2424_5903	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	34472	35575	+	ABK12636.1	NA	NA	tartrate dehydrogenase	NA	NA	1104	367	NA	3	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]|00650 Butanoate metabolism [PATH:ko00650]
Bcen2424_3194	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	34627	34962	+	ABK09940.1	NA	NA	transcriptional regulator, ArsR family	NA	NA	336	111	NA	NA	
Bcen2424_0030	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	34950	35627	-	ABK06784.1	NA	NA	two component transcriptional regulator, winged helix family	NA	NA	678	225	NA	NA	
Bcen2424_3195	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	34959	35477	+	ABK09941.1	NA	NA	protein tyrosine phosphatase	NA	NA	519	172	NA	NA	
